Galumna,totalabund,SubsDens,Substrate,Shrub
8,140,39.18,Sphagn1,Few
3,268,54.99,Litter,Few
1,186,46.07,Interface,Few
1,286,48.19,Sphagn1,Few
2,199,23.55,Sphagn1,Few
1,209,57.32,Sphagn1,Few
1,162,36.95,Sphagn1,Few
1,126,80.59,Interface,Many
2,123,61.43,Litter,Many
5,166,32.14,Sphagn1,Many
3,216,35.59,Sphagn3,Many
4,213,46.8,Sphagn1,Few
3,177,27.97,Sphagn1,Many
7,269,37.25,Interface,Many
0,100,59.93,Interface,Many
2,97,35.41,Interface,Few
1,90,29.56,Interface,Many
1,118,25.84,Sphagn1,Many
2,118,44.1,Interface,Many
4,184,38.61,Interface,Many
2,117,25.93,Sphagn4,Few
4,172,32.74,Sphagn1,Many
0,81,31.98,Sphagn2,Many
0,80,32.27,Interface,Many
0,123,35.3,Interface,Many
1,120,51.47,Sphagn4,Many
2,173,22.9,Sphagn1,Many
0,111,35.81,Sphagn2,Few
0,111,32.86,Interface,Many
1,96,38.17,Sphagn2,Many
0,130,43.9,Sphagn2,Few
0,93,37.33,Interface,Many
0,136,36.44,Sphagn2,Few
5,194,53.17,Interface,Many
0,111,29.14,Sphagn1,Few
0,133,39.61,Sphagn1,Many
0,139,34.76,Interface,Few
0,189,47.74,Interface,Few
0,94,64.75,Sphagn2,Few
0,157,34.26,Interface,Few
0,81,36.31,Sphagn2,Few
0,140,26.6,Interface,Few
0,148,56.65,Interface,Few
0,60,62.38,Barepeat,Few
0,158,46.81,Interface,Few
0,154,44.01,Sphagn1,Few
0,121,33.98,Interface,Few
0,113,41.71,Sphagn1,Few
0,107,26.37,Sphagn2,None
0,148,28.29,Interface,None
0,91,37.51,Sphagn2,None
0,112,28.86,Sphagn1,None
0,145,26.83,Interface,None
0,49,45.59,Sphagn2,None
0,58,31.98,Interface,None
0,108,41.38,Interface,None
0,8,56.82,Barepeat,None
0,121,27.24,Sphagn1,None
0,90,52.73,Sphagn1,None
0,127,31.37,Sphagn2,None
0,42,47.03,Interface,None
0,13,48.59,Interface,None
0,86,35.03,Interface,None
0,88,28.07,Sphagn1,None
0,112,21.17,Sphagn1,Many
0,116,31.46,Sphagn1,None
0,781,52.12,Sphagn1,None
0,111,29.24,Sphagn1,None
0,184,29.33,Sphagn1,Many
0,121,22.36,Sphagn1,Many
